Coords, Spline 1, Spline 2, Spline 3, Spline 4, Spline 5, Spline 6, Spline 7, Spline 8, Spline 9, Spline 10, Spline 11, Spline 12, Spline 13, Spline 14, Spline 15, Spline 16, Spline 17, Spline 18
4.611529e-01, 0, 0, 0, 4.829115e-02, 7.141946e-01, 2.375142e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.661654e-01, 0, 0, 0, 3.663294e-02, 6.974108e-01, 2.659562e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.711779e-01, 0, 0, 0, 2.658275e-02, 6.774109e-01, 2.960063e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.761905e-01, 0, 0, 0, 1.814059e-02, 6.541950e-01, 3.276644e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.812030e-01, 0, 0, 0, 1.130646e-02, 6.277630e-01, 3.609305e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.862155e-01, 0, 0, 0, 6.080364e-03, 5.981150e-01, 3.958047e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.912281e-01, 0, 0, 0, 2.462296e-03, 5.652508e-01, 4.322869e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4.962406e-01, 0, 0, 0, 4.522585e-04, 5.291707e-01, 4.703771e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.012531e-01, 0, 0, 0, 0, 4.900252e-01, 5.099246e-01, 5.025094e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.062657e-01, 0, 0, 0, 0, 4.511310e-01, 5.476128e-01, 1.256274e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.112782e-01, 0, 0, 0, 0, 4.138448e-01, 5.820849e-01, 4.070326e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.162907e-01, 0, 0, 0, 0, 3.781666e-01, 6.133410e-01, 8.492409e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.213033e-01, 0, 0, 0, 0, 3.440965e-01, 6.413810e-01, 1.452252e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.263158e-01, 0, 0, 0, 0, 3.116343e-01, 6.662050e-01, 2.216066e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.313283e-01, 0, 0, 0, 0, 2.807803e-01, 6.878129e-01, 3.140684e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.363409e-01, 0, 0, 0, 0, 2.515342e-01, 7.062047e-01, 4.226104e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.413534e-01, 0, 0, 0, 0, 2.238962e-01, 7.213805e-01, 5.472327e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.463659e-01, 0, 0, 0, 0, 1.978662e-01, 7.333402e-01, 6.879354e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.513784e-01, 0, 0, 0, 0, 1.734443e-01, 7.420839e-01, 8.447183e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.563910e-01, 0, 0, 0, 0, 1.506303e-01, 7.476115e-01, 1.017582e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.614035e-01, 0, 0, 0, 0, 1.294244e-01, 7.499231e-01, 1.206525e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.664160e-01, 0, 0, 0, 0, 1.098266e-01, 7.490185e-01, 1.411549e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.714286e-01, 0, 0, 0, 0, 9.183673e-02, 7.448980e-01, 1.632653e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.764411e-01, 0, 0, 0, 0, 7.545493e-02, 7.375613e-01, 1.869838e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.814536e-01, 0, 0, 0, 0, 6.068115e-02, 7.270086e-01, 2.123102e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.864662e-01, 0, 0, 0, 0, 4.751541e-02, 7.132399e-01, 2.392447e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.914787e-01, 0, 0, 0, 0, 3.595769e-02, 6.962550e-01, 2.677873e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.964912e-01, 0, 0, 0, 0, 2.600800e-02, 6.760542e-01, 2.979378e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.015038e-01, 0, 0, 0, 0, 1.766635e-02, 6.526372e-01, 3.296964e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.065163e-01, 0, 0, 0, 0, 1.093272e-02, 6.260042e-01, 3.630630e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.115288e-01, 0, 0, 0, 0, 5.807124e-03, 5.961552e-01, 3.980377e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.165414e-01, 0, 0, 0, 0, 2.289558e-03, 5.630901e-01, 4.346204e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.215539e-01, 0, 0, 0, 0, 3.800227e-04, 5.268089e-01, 4.728111e-01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.265664e-01, 0, 0, 0, 0, 0, 4.875472e-01, 5.123743e-01, 7.851709e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.315789e-01, 0, 0, 0, 0, 0, 4.487535e-01, 5.498615e-01, 1.385042e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.365915e-01, 0, 0, 0, 0, 0, 4.115678e-01, 5.841326e-01, 4.299596e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.416040e-01, 0, 0, 0, 0, 0, 3.759901e-01, 6.151877e-01, 8.822181e-03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.466165e-01, 0, 0, 0, 0, 0, 3.420205e-01, 6.430267e-01, 1.495280e-02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
